 VARIABLES= X,Y,con
 ZONE I=          61 ,J=          19 ,T=TT
          35           8  0.43333279573196881     
          36           8  0.41666613578253187     
          37           8  0.39999947728821139     
          38           8  0.38333282022660770     
          39           8  0.36666616457139378     
          40           8  0.34999951029238829     
          41           8  0.33333285735563722     
          42           8  0.31666620572350812     
          43           8  0.29999955535479217     
          44           8  0.28333290620481788     
          45           8  0.26666625822557322     
          46           8  0.24999961136583723     
          47           8  0.23333296557132055     
          48           8  0.21666632078481399     
          49           8  0.19999967694634557     
          50           8  0.18333303399334477     
          51           8  0.16666639186081414     
          52           8  0.14999975048150727     
          53           8  0.13333310978611329     
          54           8  0.11666646970344668     
          55           8   9.9999830160642636E-002
          56           8   8.3333191083356475E-002
          57           8   6.6666552395967610E-002
          58           8   4.9999914021786801E-002
          59           8   3.3333275883266317E-002
          60           8   1.6666637902212469E-002
          61           8   0.0000000000000000     
           1           9   1.0000000000000000     
           2           9  0.98333330457295320     
           3           9  0.96666660922473624     
           4           9  0.94999991403396333     
           5           9  0.93333321907881728     
           6           9  0.91666652443683450     
           7           9  0.89999983018469376     
           8           9  0.88333313639800470     
           9           9  0.86666644315110164     
          10           9  0.84999975051683885     
          11           9  0.83333305856639195     
          12           9  0.81666636736906195     
          13           9  0.79999967699208585     
          14           9  0.78333298750045177     
          15           9  0.76666629895672134     
          16           9  0.74999961142085825     
          17           9  0.73333292495006364     
          18           9  0.71666623959861919     
          19           9  0.69999955541773839     
          20           9  0.68333287245542684     
          21           9  0.66666619075634936     
          22           9  0.64999951036170900     
          23           9  0.63333283130913320     
          24           9  0.61666615363257093     
          25           9  0.59999947736219950     
          26           9  0.58333280252434183     
          27           9  0.56666612914139480     
          28           9  0.54999945723176724     
          29           9  0.53333278680982976     
          30           9  0.51666611788587524     
          31           9  0.49999945046609084     
          32           9  0.48333278455254064     
          33           9  0.46666612014316045     
          34           9  0.44999945723176332     
          35           9  0.43333279580805617     
          36           9  0.41666613585766854     
          37           9  0.39999947736219144     
          38           9  0.38333282029922833     
          39           9  0.36666616464245594     
          40           9  0.34999951036169719     
          41           9  0.33333285742300300     
          42           9  0.31666620578874594     
          43           9  0.29999955541772333     
          44           9  0.28333290626526986     
          45           9  0.26666625828338031     
          46           9  0.24999961142084107     
          47           9  0.23333296562337030     
          48           9  0.21666632083376702     
          49           9  0.19999967699206772     
          50           9  0.18333303403571075     
          51           9  0.16666639189970772     
          52           9  0.14999975051682191     
          53           9  0.13333310981775215     
          54           9  0.11666646973132314     
          55           9   9.9999830184680200E-002
          56           9   8.3333191103489287E-002
          57           9   6.6666552412140465E-002
          58           9   4.9999914033955394E-002
          59           9   3.3333275891397285E-002
          60           9   1.6666637906283536E-002
          61           9   0.0000000000000000     
           1          10   1.0000000000000000     
           2          10  0.98333330457539581     
           3          10  0.96666660922961467     
           4          10  0.94999991404126427     
           5          10  0.93333321908852052     
           6          10  0.91666652444891372     
           7          10  0.89999983019911567     
           8          10  0.88333313641472988     
           9          10  0.86666644317008412     
          10          10  0.84999975053802690     
          11          10  0.83333305858972717     
          12          10  0.81666636739448051     
          13          10  0.79999967701951813     
          14          10  0.78333298752982250     
          15          10  0.76666629898795002     
          16          10  0.74999961145385940     
          17          10  0.73333292498474667     
          18          10  0.71666623963488907     
          19          10  0.69999955545549575     
          20          10  0.68333287249456787     
          21          10  0.66666619079676726     
          22          10  0.64999951040329274     
          23          10  0.63333283135176888     
          24          10  0.61666615367614164     
          25          10  0.59999947740658577     
          26          10  0.58333280256942210     
          27          10  0.56666612918704540     
          28          10  0.54999945727786326     
          29          10  0.53333278685624463     
          30          10  0.51666611793248185     
          31          10  0.49999945051276129     
          32          10  0.48333278459914719     
          33          10  0.46666612018957532     
          34          10  0.44999945727785928     
          35          10  0.43333279585370682     
          36          10  0.41666613590274881     
          37          10  0.39999947740657782     
          38          10  0.38333282034279903     
          39          10  0.36666616468509172     
          40          10  0.34999951040328092     
          41          10  0.33333285746342090     
          42          10  0.31666620582788718     
          43          10  0.29999955545548057     
          44          10  0.28333290630153968     
          45          10  0.26666625831806334     
          46          10  0.24999961145384214     
          47          10  0.23333296565459899     
          48          10  0.21666632086313775     
          49          10  0.19999967701950000     
          50          10  0.18333303406112933     
